IncidentID,Date,Tower,Repair Cost,Downtime,Cause,Asset,Failure mode,Effect
285,28/10/2013,22,2679,46,Voltage spike,generator,trip (forced shutdown),"Cost, downtime "
286,03/11/2013,21,2357,52,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
287,06/11/2013,26,2547,52,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
288,11/11/2013,30,6447,50,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
289,13/11/2013,2,2543,48,Voltage spike,generator,trip (forced shutdown),"Cost, downtime "
290,19/11/2013,7,2440,44,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
291,20/11/2013,26,2374,44,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
292,25/11/2013,25,2555,50,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
293,27/11/2013,14,6220,53,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
294,30/11/2013,23,8258,24,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
295,04/12/2013,18,5764,49,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
296,07/12/2013,7,2696,51,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
297,11/12/2013,22,2667,50,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
298,16/12/2013,17,7189,24,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
299,17/12/2013,26,2433,47,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
300,20/12/2013,36,2419,44,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
301,21/12/2013,13,2590,46,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
302,22/12/2013,17,2320,50,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
303,25/12/2013,9,2346,52,ventilation error,generator,overheating (forced Shutdown),"Cost, downtime "
304,26/12/2013,12,8659,25,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
305,26/12/2013,31,7412,25,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
306,31/12/2013,29,8218,22,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
307,06/01/2014,21,2459,44,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
308,11/01/2014,24,7386,44,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
309,13/01/2014,4,7156,45,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
310,15/01/2014,14,2473,52,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
311,15/01/2014,24,795640,355,Extreme weather,blade,edge crack,"Cost, downtime "
312,20/01/2014,23,6780,46,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
313,22/01/2014,6,3045293,4386,Brake system failure,rotor,extreme overspeed,"Cost, downtime  and Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted."
314,27/01/2014,23,2630,48,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
315,03/02/2014,26,8035,26,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
316,08/02/2014,3,20865,72,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
317,09/02/2014,1,7732,24,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
318,15/02/2014,35,20533,72,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
319,18/02/2014,33,2439,51,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
320,23/02/2014,26,2340,49,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
321,26/02/2014,7,24076,65,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
322,03/03/2014,4,23231,76,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
323,10/03/2014,10,6836,43,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
324,16/03/2014,30,2614,49,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
325,17/03/2014,7,2539,53,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
326,19/03/2014,8,2555,51,ventilation error,generator,overheating (forced Shutdown),"Cost, downtime "
327,26/03/2014,11,2476,51,Voltage spike,generator,trip (forced shutdown),"Cost, downtime "
328,28/03/2014,6,2682,48,ventilation error,generator,overheating (forced Shutdown),"Cost, downtime "
329,04/04/2014,21,2658,48,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
330,04/04/2014,2,6138,50,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
331,05/04/2014,4,2344,48,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
332,11/04/2014,33,7080,52,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
333,13/04/2014,32,6576,44,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
334,19/04/2014,27,2611,48,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
335,20/04/2014,5,23047,71,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
336,20/04/2014,25,8098,25,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
337,25/04/2014,6,2588,46,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
338,27/04/2014,35,6615,44,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
339,29/04/2014,18,8547,22,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
340,03/05/2014,25,70541,176,overload,gearbox,Tooth failure,"Cost, downtime "
341,05/05/2014,17,2606,45,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
342,09/05/2014,18,6900,47,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
343,14/05/2014,8,6880,46,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
344,18/05/2014,4,6466,52,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
345,23/05/2014,7,2361,47,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
346,23/05/2014,8,7369,52,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
347,29/05/2014,21,6615,52,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
348,04/06/2014,27,6946,25,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
349,09/06/2014,26,2608,47,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
350,10/06/2014,32,6627,26,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
351,14/06/2014,27,8180,26,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
352,18/06/2014,8,2343,49,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
353,22/06/2014,30,2476,49,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
354,27/06/2014,29,2312,51,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
355,02/07/2014,6,2458,48,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
356,06/07/2014,7,1500,0,slippery stair,personnel,falling,"Cost, downtime  and Long absence"
357,11/07/2014,23,22948,75,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
358,13/07/2014,29,2357,45,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
359,21/07/2014,15,2536,51,ventilation error,generator,overheating (forced Shutdown),"Cost, downtime "
360,22/07/2014,6,2311,44,ventilation error,generator,overheating (forced Shutdown),"Cost, downtime "
361,27/07/2014,13,6942,53,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
362,31/07/2014,11,59193,152,overload,gearbox,Tooth failure,"Cost, downtime "
363,03/08/2014,9,2454,46,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
364,04/08/2014,3,25275,76,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
365,05/08/2014,16,1053111,726,Collision with flock of birds,Blade,Rupture,"Cost, downtime  and Collision filmed, national news media; 80 complaints.  "
366,11/08/2014,18,22322,68,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
367,12/08/2014,35,6490,48,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
368,15/08/2014,28,2540,51,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
369,20/08/2014,30,21667,71,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
370,21/08/2014,7,2336,45,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
371,23/08/2014,8,6466,44,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
372,30/08/2014,7,6645,25,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
373,01/09/2014,28,25023,75,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
374,06/09/2014,36,8056,26,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
375,12/09/2014,3,2358,47,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
376,14/09/2014,7,52157,180,Wear,Cable,Short circuit,"Cost, downtime "
377,18/09/2014,26,272617,632,Extreme weather,substructure,crack,"Cost, downtime "
378,21/09/2014,13,2530454,4326,Brake system failure,rotor,extreme overspeed,"Cost, downtime  and Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted."
379,25/09/2014,17,2363,52,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
380,28/09/2014,18,6023,52,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
381,29/09/2014,9,2400,48,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
382,03/10/2014,7,6641,47,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
383,05/10/2014,4,8599,26,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
384,10/10/2014,23,2662,47,Voltage spike,generator,trip (forced shutdown),"Cost, downtime "
385,11/10/2014,33,2598,47,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
386,14/10/2014,28,7393,47,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
387,17/10/2014,12,2658,51,Voltage spike,generator,trip (forced shutdown),"Cost, downtime "
388,23/10/2014,10,5507,48,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
389,29/10/2014,7,6283,51,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
390,02/11/2014,7,2495,46,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
391,02/11/2014,20,2544,47,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
392,05/11/2014,11,2546,47,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
393,10/11/2014,3,2571,46,ventilation error,generator,overheating (forced Shutdown),"Cost, downtime "
394,15/11/2014,32,6490,23,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
395,21/11/2014,25,2577,47,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
396,22/11/2014,6,2600,45,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
397,29/11/2014,24,19056,70,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
398,29/11/2014,26,2574,48,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
399,06/12/2014,24,3030,65,Extreme weather,tower,vibration (forced shutdown),"Cost, downtime "
400,11/12/2014,26,1500,0,slippery stair,personnel,falling,"Cost, downtime  and Long absence"
401,15/12/2014,3,2359,46,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
402,22/12/2014,27,2322,45,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
403,27/12/2014,6,2527,52,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
404,01/01/2015,36,2335,48,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
405,05/01/2015,15,2560720,4472,Brake system failure,rotor,extreme overspeed,"Cost, downtime  and Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted."
406,09/01/2015,25,78752,177,overload,gearbox,Tooth failure,"Cost, downtime "
407,13/01/2015,26,947280,630,Collision with flock of birds,Blade,Rupture,"Cost, downtime  and Collision filmed, national news media; 80 complaints.  "
408,18/01/2015,3,2505,52,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
409,20/01/2015,19,63065,182,overload,gearbox,Tooth failure,"Cost, downtime "
410,21/01/2015,15,761669,359,Extreme weather,blade,edge crack,"Cost, downtime "
411,24/01/2015,26,782411,324,Extreme weather,blade,edge crack,"Cost, downtime "
412,25/01/2015,3,19929,66,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
413,28/01/2015,8,2628,50,ventilation error,generator,overheating (forced Shutdown),"Cost, downtime "
414,31/01/2015,36,2635,50,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
415,31/01/2015,23,3241,78,Extreme weather,tower,vibration (forced shutdown),"Cost, downtime "
416,01/02/2015,36,2658,52,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
417,02/02/2015,16,1500,72,market demand,vessel,Being unavailable,"Cost, downtime "
418,05/02/2015,13,1500,70,market demand,vessel,Being unavailable,"Cost, downtime "
419,11/02/2015,13,2579,49,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
420,13/02/2015,2,8429,22,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
421,20/02/2015,13,2504,52,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
422,26/02/2015,7,7165,50,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
423,03/03/2015,17,2514,48,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
424,05/03/2015,35,18505,67,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
425,08/03/2015,20,2319,50,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
426,09/03/2015,2,19126,76,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
427,15/03/2015,19,21999,78,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
428,22/03/2015,27,2313,46,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
429,27/03/2015,3,989644,315,Extreme weather,blade,edge crack,"Cost, downtime "
430,31/03/2015,7,2371,50,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
431,31/03/2015,3,2657,53,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
432,07/04/2015,26,5870,44,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
433,14/04/2015,27,2654,45,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
434,16/04/2015,7,6554,22,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
435,19/04/2015,13,2590,49,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
436,23/04/2015,20,2355,44,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
437,26/04/2015,3,18493,66,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
438,03/05/2015,20,6917,50,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
439,07/05/2015,6,8100,24,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
440,13/05/2015,33,2504,51,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
441,18/05/2015,28,2328,50,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
442,24/05/2015,29,2408,48,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
443,25/05/2015,18,1500,0,slippery stair,personnel,falling,"Cost, downtime  and Long absence"
444,30/05/2015,35,2421,50,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
445,06/06/2015,7,2855,73,Extreme weather,tower,vibration (forced shutdown),"Cost, downtime "
446,09/06/2015,1,18258,69,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
447,11/06/2015,7,2559,51,ventilation error,generator,overheating (forced Shutdown),"Cost, downtime "
448,13/06/2015,15,946766,364,Extreme weather,blade,edge crack,"Cost, downtime "
449,13/06/2015,21,21792,66,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
450,20/06/2015,3,2385,51,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
451,21/06/2015,16,6179,43,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
452,27/06/2015,33,2632,49,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
453,04/07/2015,28,55640,173,Wear,Cable,Short circuit,"Cost, downtime "
454,07/07/2015,34,20139,77,construction error,transformer,leakage,"Cost, downtime  and 200 ltr oil spilled into sea, 0,8 km2 lightly polluted."
455,08/07/2015,3,6282,44,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
456,15/07/2015,4,2685,45,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
457,20/07/2015,1,2344,46,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
458,22/07/2015,7,6376,23,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
459,29/07/2015,7,2511,48,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
460,04/08/2015,20,23297,71,construction error,transformer,leakage,"Cost, downtime  and 200 ltr oil spilled into sea, 0,8 km2 lightly polluted."
461,09/08/2015,6,1052678,733,Collision with flock of birds,Blade,Rupture,"Cost, downtime  and Collision filmed, national news media; 80 complaints.  "
462,13/08/2015,36,2395,48,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
463,18/08/2015,31,2520,45,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
464,21/08/2015,34,8051,25,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
465,26/08/2015,2,2303,44,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
466,30/08/2015,34,2660,44,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
467,01/09/2015,10,6466,52,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
468,04/09/2015,23,19088,78,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
469,10/09/2015,5,6892,45,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
470,10/09/2015,19,2687,46,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
471,11/09/2015,2,3276,66,Extreme weather,tower,vibration (forced shutdown),"Cost, downtime "
472,12/09/2015,32,2315,48,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
473,14/09/2015,14,2434,51,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
474,14/09/2015,32,2529,46,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
475,20/09/2015,7,56530,177,Wear,Cable,Short circuit,"Cost, downtime "
476,21/09/2015,32,2365,52,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
477,25/09/2015,20,2439,50,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
478,02/10/2015,7,2499,50,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
479,04/10/2015,24,5952,47,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
480,06/10/2015,7,2335,44,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
481,09/10/2015,7,6672,47,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
482,16/10/2015,7,24502,77,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
483,16/10/2015,31,2439,49,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
484,17/10/2015,22,2594,49,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
485,18/10/2015,32,2340,50,Voltage spike,generator,trip (forced shutdown),"Cost, downtime "
486,20/10/2015,7,6629,23,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
487,27/10/2015,1,6811,22,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
488,03/11/2015,33,2513,46,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
489,09/11/2015,12,6659,22,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
490,14/11/2015,29,5941,45,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
491,19/11/2015,27,2346,47,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
492,20/11/2015,8,1500,77,market demand,vessel,Being unavailable,"Cost, downtime "
493,27/11/2015,14,2489,47,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
494,02/12/2015,32,6350,23,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
495,05/12/2015,31,2522,50,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
496,10/12/2015,16,2694,49,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
497,12/12/2015,31,82232,160,overload,gearbox,Tooth failure,"Cost, downtime "
498,16/12/2015,9,41715,157,Wear,Cable,Short circuit,"Cost, downtime "
499,17/12/2015,7,2450,52,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
500,23/12/2015,33,18910,69,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
501,30/12/2015,7,2552,48,ventilation error,generator,overheating (forced Shutdown),"Cost, downtime "
502,30/12/2015,18,2545,51,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
503,04/01/2016,7,18715,65,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
504,09/01/2016,5,2501,48,Voltage spike,generator,trip (forced shutdown),"Cost, downtime "
505,15/01/2016,18,843456,321,Extreme weather,blade,edge crack,"Cost, downtime "
506,17/01/2016,5,6623,46,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
507,24/01/2016,3,2637,49,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
508,24/01/2016,17,2617,44,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
509,30/01/2016,34,2647,51,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
510,04/02/2016,16,2381,47,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
511,08/02/2016,25,22837,74,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
512,13/02/2016,11,2520349,4321,Brake system failure,rotor,extreme overspeed,"Cost, downtime  and Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted."
513,14/02/2016,18,2478,48,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
514,18/02/2016,6,2606,48,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
515,21/02/2016,30,2402,51,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
516,21/02/2016,29,73820,155,overload,gearbox,Tooth failure,"Cost, downtime "
517,27/02/2016,7,2353,52,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
518,29/02/2016,30,2946,75,Extreme weather,tower,vibration (forced shutdown),"Cost, downtime "
519,03/03/2016,5,2439050,4272,Brake system failure,rotor,extreme overspeed,"Cost, downtime  and Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted."
520,06/03/2016,20,19449,68,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
521,06/03/2016,26,21049,72,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
522,13/03/2016,7,2471,44,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
523,14/03/2016,22,2645,44,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
524,15/03/2016,17,2684,52,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
525,20/03/2016,17,3002,65,Extreme weather,tower,vibration (forced shutdown),"Cost, downtime "
526,23/03/2016,29,6870,51,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
527,27/03/2016,30,2676,46,Incorrect input,brake system,trip (forced shutdown),"Cost, downtime "
528,01/04/2016,19,7154,23,Construction error,gearbox,oil lekage,"Cost, downtime  and Slippery floor"
529,04/04/2016,8,2520,51,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
530,07/04/2016,26,2438,46,ventilation error,generator,overheating (forced Shutdown),"Cost, downtime "
531,08/04/2016,11,24939,69,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
532,14/04/2016,35,2691,47,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
533,15/04/2016,25,2582,49,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
534,20/04/2016,12,2621,44,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
535,24/04/2016,14,896443,317,Extreme weather,blade,edge crack,"Cost, downtime "
536,30/04/2016,27,45843,177,Wear,Cable,Short circuit,"Cost, downtime "
537,01/05/2016,6,2697,46,ventilation error,generator,overheating (forced Shutdown),"Cost, downtime "
538,01/05/2016,31,7294,47,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
539,07/05/2016,9,2396,48,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
540,09/05/2016,17,5697,48,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
541,13/05/2016,30,3061,71,Extreme weather,tower,vibration (forced shutdown),"Cost, downtime "
542,19/05/2016,28,69611,152,overload,gearbox,Tooth failure,"Cost, downtime "
543,22/05/2016,5,17526,72,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
544,27/05/2016,5,2672,46,Voltage spike,generator,trip (forced shutdown),"Cost, downtime "
545,31/05/2016,13,2459,48,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
546,05/06/2016,12,6579,49,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
547,07/06/2016,25,1500,0,slippery stair,personnel,falling,"Cost, downtime  and Long absence"
548,09/06/2016,6,5628,49,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
549,16/06/2016,12,2579,49,Incorrect input,pitch system,trip (forced shutdown),"Cost, downtime "
550,20/06/2016,30,2422,47,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
551,27/06/2016,7,1500,0,slippery stair,personnel,falling,"Cost, downtime  and Long absence"
552,01/07/2016,8,1500,0,slippery stair,personnel,falling,"Cost, downtime  and Long absence"
553,05/07/2016,4,2410,48,"Construction error (misalignment, bolts not tightened)",main shaft,vibration (forced shutdown),"Cost, downtime "
554,08/07/2016,33,2422,46,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
555,09/07/2016,5,6091,53,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
556,16/07/2016,34,20047,76,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
557,17/07/2016,31,22592,74,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
558,21/07/2016,24,20587,72,Imbalance,Blade,vibration (forced shutdown),"Cost, downtime "
559,24/07/2016,20,54019,179,Wear,Cable,Short circuit,"Cost, downtime "
560,25/07/2016,8,6000,51,Contamination (salt build up),transformer,trip (forced shutdown),"Cost, downtime "
561,30/07/2016,11,2511,52,Incorrect input,yaw system,trip (forced shutdown),"Cost, downtime "
562,06/08/2016,22,2423,49,ventilation error,generator,overheating (forced Shutdown),"Cost, downtime "
563,12/08/2016,2,323218,644,Extreme weather,substructure,crack,"Cost, downtime "
564,13/08/2016,16,1500,73,market demand,vessel,Being unavailable,"Cost, downtime "
