IncidentID,Date,Tower,Description,Repair Cost,Downtime,Non-financial impact,Total Severity
282,23/10/2013,7,Incorrect input for the yaw system resulted in trip (forced shutdown).,2349,45,,1
283,25/10/2013,21,Extreme weather resulted in tower vibration (forced shutdown).,2774,70,,2
284,27/10/2013,27,Incorrect input for the yaw system resulted in trip (forced shutdown).,2624,50,,2
285,28/10/2013,22,Voltage spike for the generator resulted in trip (forced shutdown).,2679,46,,1
286,03/11/2013,21,Incorrect input for the pitch system resulted in trip (forced shutdown).,2357,52,,2
287,06/11/2013,26,Incorrect input for the brake system resulted in trip (forced shutdown).,2547,52,,2
288,11/11/2013,30,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6447,50,,2
289,13/11/2013,2,Voltage spike for the generator resulted in trip (forced shutdown).,2543,48,,1
290,19/11/2013,7,Incorrect input for the yaw system resulted in trip (forced shutdown).,2440,44,,1
291,20/11/2013,26,Incorrect input for the brake system resulted in trip (forced shutdown).,2374,44,,1
292,25/11/2013,25,Incorrect input for the pitch system resulted in trip (forced shutdown).,2555,50,,2
293,27/11/2013,14,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6220,53,,2
294,30/11/2013,23,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,8258,24,Slippery floor,2
295,04/12/2013,18,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,5764,49,,2
296,07/12/2013,7,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2696,51,,2
297,11/12/2013,22,Incorrect input for the yaw system resulted in trip (forced shutdown).,2667,50,,2
298,16/12/2013,17,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,7189,24,Slippery floor,2
299,17/12/2013,26,Incorrect input for the pitch system resulted in trip (forced shutdown).,2433,47,,1
300,20/12/2013,36,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2419,44,,1
301,21/12/2013,13,Incorrect input for the yaw system resulted in trip (forced shutdown).,2590,46,,1
302,22/12/2013,17,Incorrect input for the yaw system resulted in trip (forced shutdown).,2320,50,,1
303,25/12/2013,9,Ventilation error for the generator resulted in overheating (forced shutdown).,2346,52,,2
304,26/12/2013,12,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,8659,25,Slippery floor,2
305,26/12/2013,31,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,7412,25,Slippery floor,2
306,31/12/2013,29,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,8218,22,Slippery floor,2
307,06/01/2014,21,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2459,44,,1
308,11/01/2014,24,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,7386,44,,2
309,13/01/2014,4,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,7156,45,,2
310,15/01/2014,14,Incorrect input for the pitch system resulted in trip (forced shutdown).,2473,52,,2
311,15/01/2014,24,Extreme weather resulted in blade developing an edge crack.,795640,355,,3
312,20/01/2014,23,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6780,46,,2
313,22/01/2014,6,"Brake system failure of the rotor resulted in extreme overspeed=> tower collapse. Impact: Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted.",3045293,4386,"Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted.",4
314,27/01/2014,23,Incorrect input for the yaw system resulted in trip (forced shutdown).,2630,48,,1
315,03/02/2014,26,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,8035,26,Slippery floor,2
316,08/02/2014,3,Imbalance of the blade resulted in vibration (forced shutdown).,20865,72,,2
317,09/02/2014,1,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,7732,24,Slippery floor,2
318,15/02/2014,35,Imbalance of the blade resulted in vibration (forced shutdown).,20533,72,,2
319,18/02/2014,33,Incorrect input for the brake system resulted in trip (forced shutdown).,2439,51,,2
320,23/02/2014,26,Incorrect input for the pitch system resulted in trip (forced shutdown).,2340,49,,1
321,26/02/2014,7,Imbalance of the blade resulted in vibration (forced shutdown).,24076,65,,2
322,03/03/2014,4,Imbalance of the blade resulted in vibration (forced shutdown).,23231,76,,2
323,10/03/2014,10,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6836,43,,2
324,16/03/2014,30,Incorrect input for the yaw system resulted in trip (forced shutdown).,2614,49,,1
325,17/03/2014,7,Incorrect input for the pitch system resulted in trip (forced shutdown).,2539,53,,2
326,19/03/2014,8,Ventilation error for the generator resulted in overheating (forced shutdown).,2555,51,,2
327,26/03/2014,11,Voltage spike for the generator resulted in trip (forced shutdown).,2476,51,,2
328,28/03/2014,6,Ventilation error for the generator resulted in overheating (forced shutdown).,2682,48,,1
329,04/04/2014,21,Incorrect input for the yaw system resulted in trip (forced shutdown).,2658,48,,1
330,04/04/2014,2,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6138,50,,2
331,05/04/2014,4,Incorrect input for the pitch system resulted in trip (forced shutdown).,2344,48,,1
332,11/04/2014,33,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,7080,52,,2
333,13/04/2014,32,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6576,44,,2
334,19/04/2014,27,Incorrect input for the yaw system resulted in trip (forced shutdown).,2611,48,,1
335,20/04/2014,5,Imbalance of the blade resulted in vibration (forced shutdown).,23047,71,,2
336,20/04/2014,25,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,8098,25,Slippery floor,2
337,25/04/2014,6,Incorrect input for the pitch system resulted in trip (forced shutdown).,2588,46,,1
338,27/04/2014,35,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6615,44,,2
339,29/04/2014,18,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,8547,22,Slippery floor,2
340,03/05/2014,25,Overload of the gearbox resulted in tooth failure.,70541,176,,2
341,05/05/2014,17,Incorrect input for the yaw system resulted in trip (forced shutdown).,2606,45,,1
342,09/05/2014,18,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6900,47,,2
343,14/05/2014,8,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6880,46,,2
344,18/05/2014,4,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6466,52,,2
345,23/05/2014,7,Incorrect input for the brake system resulted in trip (forced shutdown).,2361,47,,1
346,23/05/2014,8,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,7369,52,,2
347,29/05/2014,21,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6615,52,,2
348,04/06/2014,27,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,6946,25,Slippery floor,2
349,09/06/2014,26,Incorrect input for the pitch system resulted in trip (forced shutdown).,2608,47,,1
350,10/06/2014,32,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,6627,26,Slippery floor,2
351,14/06/2014,27,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,8180,26,Slippery floor,2
352,18/06/2014,8,Incorrect input for the pitch system resulted in trip (forced shutdown).,2343,49,,1
353,22/06/2014,30,Incorrect input for the yaw system resulted in trip (forced shutdown).,2476,49,,1
354,27/06/2014,29,Incorrect input for the yaw system resulted in trip (forced shutdown).,2312,51,,1
355,02/07/2014,6,Incorrect input for the brake system resulted in trip (forced shutdown).,2458,48,,1
356,06/07/2014,7,Slippery stairs resulted in personnel falling. Impact: Long absence,1500,0,Long absence,3
357,11/07/2014,23,Imbalance of the blade resulted in vibration (forced shutdown).,22948,75,,2
358,13/07/2014,29,Incorrect input for the yaw system resulted in trip (forced shutdown).,2357,45,,1
359,21/07/2014,15,Ventilation error for the generator resulted in overheating (forced shutdown).,2536,51,,2
360,22/07/2014,6,Ventilation error for the generator resulted in overheating (forced shutdown).,2311,44,,1
361,27/07/2014,13,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6942,53,,2
362,31/07/2014,11,Overload of the gearbox resulted in tooth failure.,59193,152,,2
363,03/08/2014,9,Incorrect input for the brake system resulted in trip (forced shutdown).,2454,46,,1
364,04/08/2014,3,Imbalance of the blade resulted in vibration (forced shutdown).,25275,76,,2
365,05/08/2014,16,"Collision with flock of birds of the blade resulted in rupture. Impact: Collision filmed, national news media; 80 complaints.  ",1053111,726,"Collision filmed, national news media; 80 complaints.  ",4
366,11/08/2014,18,Imbalance of the blade resulted in vibration (forced shutdown).,22322,68,,2
367,12/08/2014,35,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6490,48,,2
368,15/08/2014,28,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2540,51,,2
369,20/08/2014,30,Imbalance of the blade resulted in vibration (forced shutdown).,21667,71,,2
370,21/08/2014,7,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2336,45,,1
371,23/08/2014,8,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6466,44,,2
372,30/08/2014,7,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,6645,25,Slippery floor,2
373,01/09/2014,28,Imbalance of the blade resulted in vibration (forced shutdown).,25023,75,,2
374,06/09/2014,36,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,8056,26,Slippery floor,2
375,12/09/2014,3,Incorrect input for the yaw system resulted in trip (forced shutdown).,2358,47,,1
376,14/09/2014,7,Wear of the cable resulted in short circuit.,52157,180,,2
377,18/09/2014,26,Extreme weather resulted in substructure developing acrack.,272617,632,,3
378,21/09/2014,13,"Brake system failure of the rotor resulted in extreme overspeed=> tower collapse. Impact: Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted.",2530454,4326,"Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted.",4
379,25/09/2014,17,Incorrect input for the pitch system resulted in trip (forced shutdown).,2363,52,,2
380,28/09/2014,18,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6023,52,,2
381,29/09/2014,9,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2400,48,,1
382,03/10/2014,7,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6641,47,,2
383,05/10/2014,4,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,8599,26,Slippery floor,2
384,10/10/2014,23,Voltage spike for the generator resulted in trip (forced shutdown).,2662,47,,1
385,11/10/2014,33,Incorrect input for the brake system resulted in trip (forced shutdown).,2598,47,,1
386,14/10/2014,28,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,7393,47,,2
387,17/10/2014,12,Voltage spike for the generator resulted in trip (forced shutdown).,2658,51,,2
388,23/10/2014,10,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,5507,48,,2
389,29/10/2014,7,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6283,51,,2
390,02/11/2014,7,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2495,46,,1
391,02/11/2014,20,Incorrect input for the pitch system resulted in trip (forced shutdown).,2544,47,,1
392,05/11/2014,11,Incorrect input for the yaw system resulted in trip (forced shutdown).,2546,47,,1
393,10/11/2014,3,Ventilation error for the generator resulted in overheating (forced shutdown).,2571,46,,1
394,15/11/2014,32,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,6490,23,Slippery floor,1
395,21/11/2014,25,Incorrect input for the pitch system resulted in trip (forced shutdown).,2577,47,,1
396,22/11/2014,6,Incorrect input for the brake system resulted in trip (forced shutdown).,2600,45,,1
397,29/11/2014,24,Imbalance of the blade resulted in vibration (forced shutdown).,19056,70,,2
398,29/11/2014,26,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2574,48,,1
399,06/12/2014,24,Extreme weather resulted in tower vibration (forced shutdown).,3030,65,,2
400,11/12/2014,26,Slippery stairs resulted in personnel falling. Impact: Long absence,1500,0,Long absence,3
401,15/12/2014,3,Incorrect input for the pitch system resulted in trip (forced shutdown).,2359,46,,1
402,22/12/2014,27,Incorrect input for the yaw system resulted in trip (forced shutdown).,2322,45,,1
403,27/12/2014,6,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2527,52,,2
404,01/01/2015,36,Incorrect input for the yaw system resulted in trip (forced shutdown).,2335,48,,1
405,05/01/2015,15,"Brake system failure of the rotor resulted in extreme overspeed=> tower collapse. Impact: Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted.",2560720,4472,"Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted.",4
406,09/01/2015,25,Overload of the gearbox resulted in tooth failure.,78752,177,,3
407,13/01/2015,26,"Collision with flock of birds of the blade resulted in rupture. Impact: Collision filmed, national news media; 80 complaints.  ",947280,630,"Collision filmed, national news media; 80 complaints.  ",4
408,18/01/2015,3,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2505,52,,2
409,20/01/2015,19,Overload of the gearbox resulted in tooth failure.,63065,182,,2
410,21/01/2015,15,Extreme weather resulted in blade developing an edge crack.,761669,359,,3
411,24/01/2015,26,Extreme weather resulted in blade developing an edge crack.,782411,324,,3
412,25/01/2015,3,Imbalance of the blade resulted in vibration (forced shutdown).,19929,66,,2
413,28/01/2015,8,Ventilation error for the generator resulted in overheating (forced shutdown).,2628,50,,2
414,31/01/2015,36,Incorrect input for the pitch system resulted in trip (forced shutdown).,2635,50,,2
415,31/01/2015,23,Extreme weather resulted in tower vibration (forced shutdown).,3241,78,,2
416,01/02/2015,36,Incorrect input for the pitch system resulted in trip (forced shutdown).,2658,52,,2
417,02/02/2015,16,Market demand on the vessel resulted in it being unavailable .,1500,72,,2
418,05/02/2015,13,Market demand on the vessel resulted in it being unavailable .,1500,70,,2
419,11/02/2015,13,Incorrect input for the pitch system resulted in trip (forced shutdown).,2579,49,,1
420,13/02/2015,2,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,8429,22,Slippery floor,2
421,20/02/2015,13,Incorrect input for the brake system resulted in trip (forced shutdown).,2504,52,,2
422,26/02/2015,7,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,7165,50,,2
423,03/03/2015,17,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2514,48,,1
424,05/03/2015,35,Imbalance of the blade resulted in vibration (forced shutdown).,18505,67,,2
425,08/03/2015,20,Incorrect input for the pitch system resulted in trip (forced shutdown).,2319,50,,1
426,09/03/2015,2,Imbalance of the blade resulted in vibration (forced shutdown).,19126,76,,2
427,15/03/2015,19,Imbalance of the blade resulted in vibration (forced shutdown).,21999,78,,2
428,22/03/2015,27,Incorrect input for the brake system resulted in trip (forced shutdown).,2313,46,,1
429,27/03/2015,3,Extreme weather resulted in blade developing an edge crack.,989644,315,,4
430,31/03/2015,7,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2371,50,,1
431,31/03/2015,3,Incorrect input for the yaw system resulted in trip (forced shutdown).,2657,53,,2
432,07/04/2015,26,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,5870,44,,2
433,14/04/2015,27,Incorrect input for the brake system resulted in trip (forced shutdown).,2654,45,,1
434,16/04/2015,7,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,6554,22,Slippery floor,1
435,19/04/2015,13,Incorrect input for the yaw system resulted in trip (forced shutdown).,2590,49,,1
436,23/04/2015,20,Incorrect input for the pitch system resulted in trip (forced shutdown).,2355,44,,1
437,26/04/2015,3,Imbalance of the blade resulted in vibration (forced shutdown).,18493,66,,2
438,03/05/2015,20,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6917,50,,2
439,07/05/2015,6,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,8100,24,Slippery floor,2
440,13/05/2015,33,Incorrect input for the yaw system resulted in trip (forced shutdown).,2504,51,,2
441,18/05/2015,28,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2328,50,,1
442,24/05/2015,29,Incorrect input for the yaw system resulted in trip (forced shutdown).,2408,48,,1
443,25/05/2015,18,Slippery stairs resulted in personnel falling. Impact: Long absence,1500,0,Long absence,3
444,30/05/2015,35,Incorrect input for the pitch system resulted in trip (forced shutdown).,2421,50,,1
445,06/06/2015,7,Extreme weather resulted in tower vibration (forced shutdown).,2855,73,,2
446,09/06/2015,1,Imbalance of the blade resulted in vibration (forced shutdown).,18258,69,,2
447,11/06/2015,7,Ventilation error for the generator resulted in overheating (forced shutdown).,2559,51,,2
448,13/06/2015,15,Extreme weather resulted in blade developing an edge crack.,946766,364,,4
449,13/06/2015,21,Imbalance of the blade resulted in vibration (forced shutdown).,21792,66,,2
450,20/06/2015,3,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2385,51,,2
451,21/06/2015,16,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6179,43,,2
452,27/06/2015,33,Incorrect input for the pitch system resulted in trip (forced shutdown).,2632,49,,1
453,04/07/2015,28,Wear of the cable resulted in short circuit.,55640,173,,2
454,07/07/2015,34,"Construction error of the transformer resulted in leakage. Impact: 200 ltr oil spilled into sea, 0,8 km2 lightly polluted.",20139,77,"200 ltr oil spilled into sea, 0,8 km2 lightly polluted.",3
455,08/07/2015,3,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6282,44,,2
456,15/07/2015,4,Incorrect input for the yaw system resulted in trip (forced shutdown).,2685,45,,1
457,20/07/2015,1,Incorrect input for the brake system resulted in trip (forced shutdown).,2344,46,,1
458,22/07/2015,7,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,6376,23,Slippery floor,1
459,29/07/2015,7,Incorrect input for the yaw system resulted in trip (forced shutdown).,2511,48,,1
460,04/08/2015,20,"Construction error of the transformer resulted in leakage. Impact: 200 ltr oil spilled into sea, 0,8 km2 lightly polluted.",23297,71,"200 ltr oil spilled into sea, 0,8 km2 lightly polluted.",3
461,09/08/2015,6,"Collision with flock of birds of the blade resulted in rupture. Impact: Collision filmed, national news media; 80 complaints.  ",1052678,733,"Collision filmed, national news media; 80 complaints.  ",4
462,13/08/2015,36,Incorrect input for the yaw system resulted in trip (forced shutdown).,2395,48,,1
463,18/08/2015,31,Incorrect input for the brake system resulted in trip (forced shutdown).,2520,45,,1
464,21/08/2015,34,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,8051,25,Slippery floor,2
465,26/08/2015,2,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2303,44,,1
466,30/08/2015,34,Incorrect input for the brake system resulted in trip (forced shutdown).,2660,44,,1
467,01/09/2015,10,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6466,52,,2
468,04/09/2015,23,Imbalance of the blade resulted in vibration (forced shutdown).,19088,78,,2
469,10/09/2015,5,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6892,45,,2
470,10/09/2015,19,Incorrect input for the pitch system resulted in trip (forced shutdown).,2687,46,,1
471,11/09/2015,2,Extreme weather resulted in tower vibration (forced shutdown).,3276,66,,2
472,12/09/2015,32,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2315,48,,1
473,14/09/2015,14,Incorrect input for the pitch system resulted in trip (forced shutdown).,2434,51,,2
474,14/09/2015,32,Incorrect input for the pitch system resulted in trip (forced shutdown).,2529,46,,1
475,20/09/2015,7,Wear of the cable resulted in short circuit.,56530,177,,2
476,21/09/2015,32,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2365,52,,2
477,25/09/2015,20,Incorrect input for the yaw system resulted in trip (forced shutdown).,2439,50,,1
478,02/10/2015,7,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2499,50,,1
479,04/10/2015,24,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,5952,47,,2
480,06/10/2015,7,Incorrect input for the yaw system resulted in trip (forced shutdown).,2335,44,,1
481,09/10/2015,7,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6672,47,,2
482,16/10/2015,7,Imbalance of the blade resulted in vibration (forced shutdown).,24502,77,,2
483,16/10/2015,31,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2439,49,,1
484,17/10/2015,22,Incorrect input for the pitch system resulted in trip (forced shutdown).,2594,49,,1
485,18/10/2015,32,Voltage spike for the generator resulted in trip (forced shutdown).,2340,50,,1
486,20/10/2015,7,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,6629,23,Slippery floor,2
487,27/10/2015,1,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,6811,22,Slippery floor,2
488,03/11/2015,33,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2513,46,,1
489,09/11/2015,12,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,6659,22,Slippery floor,1
490,14/11/2015,29,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,5941,45,,2
491,19/11/2015,27,Incorrect input for the pitch system resulted in trip (forced shutdown).,2346,47,,1
492,20/11/2015,8,Market demand on the vessel resulted in it being unavailable .,1500,77,,2
493,27/11/2015,14,Incorrect input for the brake system resulted in trip (forced shutdown).,2489,47,,1
494,02/12/2015,32,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,6350,23,Slippery floor,1
495,05/12/2015,31,Incorrect input for the yaw system resulted in trip (forced shutdown).,2522,50,,2
496,10/12/2015,16,Incorrect input for the yaw system resulted in trip (forced shutdown).,2694,49,,2
497,12/12/2015,31,Overload of the gearbox resulted in tooth failure.,82232,160,,3
498,16/12/2015,9,Wear of the cable resulted in short circuit.,41715,157,,2
499,17/12/2015,7,Incorrect input for the yaw system resulted in trip (forced shutdown).,2450,52,,2
500,23/12/2015,33,Imbalance of the blade resulted in vibration (forced shutdown).,18910,69,,2
501,30/12/2015,7,Ventilation error for the generator resulted in overheating (forced shutdown).,2552,48,,1
502,30/12/2015,18,Incorrect input for the pitch system resulted in trip (forced shutdown).,2545,51,,2
503,04/01/2016,7,Imbalance of the blade resulted in vibration (forced shutdown).,18715,65,,2
504,09/01/2016,5,Voltage spike for the generator resulted in trip (forced shutdown).,2501,48,,1
505,15/01/2016,18,Extreme weather resulted in blade developing an edge crack.,843456,321,,3
506,17/01/2016,5,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6623,46,,2
507,24/01/2016,3,Incorrect input for the brake system resulted in trip (forced shutdown).,2637,49,,1
508,24/01/2016,17,Incorrect input for the pitch system resulted in trip (forced shutdown).,2617,44,,1
509,30/01/2016,34,Incorrect input for the pitch system resulted in trip (forced shutdown).,2647,51,,2
510,04/02/2016,16,Incorrect input for the brake system resulted in trip (forced shutdown).,2381,47,,1
511,08/02/2016,25,Imbalance of the blade resulted in vibration (forced shutdown).,22837,74,,2
512,13/02/2016,11,"Brake system failure of the rotor resulted in extreme overspeed=> tower collapse. Impact: Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted.",2520349,4321,"Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted.",4
513,14/02/2016,18,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2478,48,,1
514,18/02/2016,6,Incorrect input for the pitch system resulted in trip (forced shutdown).,2606,48,,1
515,21/02/2016,30,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2402,51,,2
516,21/02/2016,29,Overload of the gearbox resulted in tooth failure.,73820,155,,2
517,27/02/2016,7,Incorrect input for the yaw system resulted in trip (forced shutdown).,2353,52,,2
518,29/02/2016,30,Extreme weather resulted in tower vibration (forced shutdown).,2946,75,,2
519,03/03/2016,5,"Brake system failure of the rotor resulted in extreme overspeed=> tower collapse. Impact: Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted.",2439050,4272,"Collapse filmed, international news media. Some 300 complaints. 5 km2 lightly polluted.",4
520,06/03/2016,20,Imbalance of the blade resulted in vibration (forced shutdown).,19449,68,,2
521,06/03/2016,26,Imbalance of the blade resulted in vibration (forced shutdown).,21049,72,,2
522,13/03/2016,7,Incorrect input for the brake system resulted in trip (forced shutdown).,2471,44,,1
523,14/03/2016,22,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2645,44,,1
524,15/03/2016,17,Incorrect input for the yaw system resulted in trip (forced shutdown).,2684,52,,2
525,20/03/2016,17,Extreme weather resulted in tower vibration (forced shutdown).,3002,65,,2
526,23/03/2016,29,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6870,51,,2
527,27/03/2016,30,Incorrect input for the brake system resulted in trip (forced shutdown).,2676,46,,1
528,01/04/2016,19,Construction error of the gearbox resulted in oil Leakage. Impact: Slippery floor,7154,23,Slippery floor,2
529,04/04/2016,8,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2520,51,,2
530,07/04/2016,26,Ventilation error for the generator resulted in overheating (forced shutdown).,2438,46,,1
531,08/04/2016,11,Imbalance of the blade resulted in vibration (forced shutdown).,24939,69,,2
532,14/04/2016,35,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2691,47,,1
533,15/04/2016,25,Incorrect input for the pitch system resulted in trip (forced shutdown).,2582,49,,1
534,20/04/2016,12,Incorrect input for the yaw system resulted in trip (forced shutdown).,2621,44,,1
535,24/04/2016,14,Extreme weather resulted in blade developing an edge crack.,896443,317,,3
536,30/04/2016,27,Wear of the cable resulted in short circuit.,45843,177,,2
537,01/05/2016,6,Ventilation error for the generator resulted in overheating (forced shutdown).,2697,46,,1
538,01/05/2016,31,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,7294,47,,2
539,07/05/2016,9,Incorrect input for the yaw system resulted in trip (forced shutdown).,2396,48,,1
540,09/05/2016,17,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,5697,48,,2
541,13/05/2016,30,Extreme weather resulted in tower vibration (forced shutdown).,3061,71,,2
542,19/05/2016,28,Overload of the gearbox resulted in tooth failure.,69611,152,,2
543,22/05/2016,5,Imbalance of the blade resulted in vibration (forced shutdown).,17526,72,,2
544,27/05/2016,5,Voltage spike for the generator resulted in trip (forced shutdown).,2672,46,,1
545,31/05/2016,13,Incorrect input for the pitch system resulted in trip (forced shutdown).,2459,48,,1
546,05/06/2016,12,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6579,49,,2
547,07/06/2016,25,Slippery stairs resulted in personnel falling. Impact: Long absence,1500,0,Long absence,3
548,09/06/2016,6,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,5628,49,,2
549,16/06/2016,12,Incorrect input for the pitch system resulted in trip (forced shutdown).,2579,49,,1
550,20/06/2016,30,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2422,47,,1
551,27/06/2016,7,Slippery stairs resulted in personnel falling. Impact: Long absence,1500,0,Long absence,3
552,01/07/2016,8,Slippery stairs resulted in personnel falling. Impact: Long absence,1500,0,Long absence,3
553,05/07/2016,4,"Construction error (misalignment, bolts not tightened) for the main shaft resulted in vibration (forced shutdown).",2410,48,,1
554,08/07/2016,33,Incorrect input for the yaw system resulted in trip (forced shutdown).,2422,46,,1
555,09/07/2016,5,Contamination (salt build up) on the transformer resulted in trip (forced shutdown).,6091,53,,2
556,16/07/2016,34,Imbalance of the blade resulted in vibration (forced shutdown).,20047,76,,2
557,17/07/2016,31,Imbalance of the blade resulted in vibration (forced shutdown).,22592,74,,2
558,21/07/2016,24,Imbalance of the blade resulted in vibration (forced shutdown).,20587,72,,2
559,24/07/2016,20,Wear of the cable resulted in short circuit.,54019,179,,2
